,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,3121,15694879,Reeves,590,Spain,Female,23,7,0.0,2,1,0,196789.9,0
1,1119,15759381,Johnson,617,Spain,Male,61,7,91070.43,1,1,1,101839.77,0
2,1347,15777826,Wofford,643,France,Male,30,5,94443.77,1,1,1,165614.4,0
3,9474,15690733,Angelo,608,Spain,Male,45,4,0.0,2,0,0,36697.48,1
4,432,15743040,Kuznetsova,724,Germany,Male,41,2,127892.57,2,0,1,199645.45,0
5,4875,15764537,Dominguez,703,France,Male,43,8,0.0,2,1,0,9704.66,0
6,3198,15747043,Giles,599,Spain,Male,36,4,0.0,2,0,0,13210.56,0
7,5126,15656086,Bovee,542,Spain,Male,54,8,105770.14,1,0,1,140929.98,1
8,4765,15657637,Ts'ui,696,Spain,Female,36,3,0.0,3,1,0,65039.9,0
9,3571,15706005,Roberts,674,France,Male,46,2,174701.05,1,1,0,90189.72,1
10,9763,15734917,Castiglione,708,Germany,Male,21,8,133974.36,2,1,0,50294.09,0
11,6848,15809462,Polyakova,656,France,Male,30,3,0.0,2,0,1,17104.0,0
12,7724,15794875,Hung,691,Spain,Male,35,6,0.0,2,0,1,178038.17,0
13,7936,15587311,Dobbs,582,Spain,Male,33,6,0.0,2,0,1,72970.93,0
14,5005,15625092,Colombo,502,Germany,Female,57,3,101465.31,1,1,0,43568.31,1
15,6469,15677184,Cremonesi,767,France,Female,35,6,115576.44,1,0,1,27922.45,0
16,640,15798398,Pagnotto,785,France,Female,36,4,135438.4,1,0,0,190627.01,0
17,2284,15624633,Kibby,702,France,Male,45,9,74989.58,1,1,1,171014.69,0
18,5127,15655298,Lewis,654,Spain,Female,54,5,0.0,2,0,1,47139.06,0
19,4036,15792607,Little,769,France,Female,38,2,0.0,2,0,0,75578.67,0
20,1227,15775572,Bergamaschi,531,Germany,Female,42,6,88324.31,2,1,0,75248.75,0
21,1013,15655274,Bardin,548,France,Female,29,4,0.0,2,0,1,48673.18,0
22,7633,15620570,Sinnett,736,France,Male,43,4,202443.47,1,1,0,72375.03,0
23,6915,15808849,T'ien,702,France,Male,40,7,145536.9,1,0,1,135334.24,0
24,8642,15749103,Ginikanwa,604,Germany,Female,47,4,118907.6,1,0,1,47777.15,1
25,5426,15595153,Tucker,644,Germany,Female,44,8,106022.73,2,0,0,148727.42,0
26,4780,15711843,Pisani,613,Germany,Male,40,1,147856.82,3,0,0,107961.11,1
27,2781,15790235,Hsing,778,Spain,Male,40,8,104291.41,2,1,1,117507.11,0
28,587,15722010,Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,1
29,6567,15709523,Yao,525,Germany,Female,30,0,157989.21,2,1,1,100687.67,0
30,3647,15610900,Thompson,770,France,Female,70,9,110738.89,1,1,0,22666.77,1
31,8331,15707974,Anayochukwu,815,Spain,Female,38,2,48387.0,1,1,0,184796.84,0
32,7537,15590234,De Luca,697,France,Female,42,1,0.0,1,1,0,1262.83,1
33,7002,15662854,Manna,681,Germany,Male,48,5,139714.4,2,0,0,73066.72,0
34,1581,15793881,Mitchell,721,France,Female,35,6,118273.83,1,0,1,3086.89,0
35,1753,15724466,Swearingen,744,Germany,Female,41,2,84113.41,1,1,0,197548.63,0
36,5956,15649024,Trujillo,748,France,Female,39,9,132865.56,1,1,1,59636.43,1
37,5735,15596647,Henderson,768,France,Male,54,8,69712.74,1,1,1,69381.05,0
38,5692,15601383,Ibrahimova,744,Spain,Male,44,5,120654.68,1,1,0,82290.81,0
39,896,15697000,Mello,728,Germany,Male,32,5,61825.5,1,1,1,156124.93,0
40,4161,15722350,Udinesi,627,Germany,Female,37,7,147361.57,1,1,1,133031.96,0
41,7518,15771409,McGregor,586,France,Male,58,7,151933.63,1,1,0,162960.05,1
42,2172,15747174,Hao,526,Germany,Male,58,9,190298.89,2,1,1,191263.76,0
43,4715,15611024,Kalinina,567,France,Female,23,9,93522.2,1,0,1,81425.61,0
44,3154,15750056,Hyde,702,France,Female,29,6,149218.39,1,1,1,9633.01,0
45,2646,15765322,Connely,755,France,Male,23,5,84284.48,2,1,1,62851.6,0
46,1374,15771942,Tikhonov,528,Germany,Female,46,9,135555.66,1,1,0,133146.03,1
47,4395,15669175,Ts'ai,479,Germany,Male,24,6,107637.97,2,0,1,169505.83,0
48,8744,15746035,Pagnotto,450,Spain,Male,25,9,74237.2,2,0,1,195463.35,0
49,2772,15715465,Aksenova,714,Germany,Male,28,7,77776.39,1,1,0,177737.07,0
50,2923,15705113,P'an,685,Spain,Male,34,6,83264.28,1,0,0,9663.28,0
