ID,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
0,7001,15739548,Johnson,775,France,Male,28,9,111167.7,1,1,0,149331.01
2,2335,15616380,Wheeler,803,Spain,Female,37,1,0.0,2,0,0,7455.2
4,4447,15634815,Hunt,701,France,Female,37,3,0.0,2,1,1,164268.28
6,6806,15577988,Skinner,614,France,Female,35,1,0.0,2,1,1,3342.62
7,1087,15708063,Walker,712,France,Male,36,2,100749.5,3,0,0,70758.37
8,8339,15792453,More,602,Spain,Female,42,1,138912.17,1,1,1,139494.75
10,8988,15695932,Yelverton,766,Spain,Male,36,5,78381.13,1,0,1,153831.6
11,4623,15703614,Hutchinson,564,Spain,Male,48,5,132876.23,1,1,0,79259.77
12,576,15653620,Gordon,546,France,Female,27,8,0.0,2,1,1,14858.1
14,8337,15788480,Pagnotto,786,Germany,Female,33,0,122325.58,1,0,0,34712.34
15,365,15676715,Madukaego,640,France,Male,68,9,0.0,2,1,1,199493.38
16,9483,15599211,Findlay,707,France,Male,40,1,0.0,2,1,0,14090.4
17,3213,15747097,Hs?,611,France,Male,35,10,0.0,1,1,1,23598.23
18,9610,15674833,Shao,741,France,Female,35,1,0.0,2,1,0,36557.55
20,7766,15613427,Barling,683,Germany,Female,49,7,108797.63,2,0,0,140763.18
21,5991,15625494,Li Fonti,573,France,Female,32,9,125321.84,2,1,1,130234.63
22,2740,15723894,Younger,625,France,Male,45,7,137555.44,1,0,0,124607.7
23,7485,15646563,Wright,772,France,Female,35,9,0.0,1,0,1,25448.31
25,5873,15684248,Meng,658,Spain,Male,21,7,0.0,2,0,1,154279.87
26,948,15741336,Ejimofor,715,France,Female,38,5,118590.41,1,1,1,5684.17
28,9201,15567923,Barese,739,France,Female,30,6,0.0,1,0,0,122604.44
29,5707,15801431,Rowe,682,Spain,Female,48,9,101198.01,1,1,1,49732.9
30,5371,15728564,Lo,682,France,Male,41,6,0.0,2,0,1,134158.09
32,5827,15737961,Miller,509,Germany,Female,29,0,107712.57,2,1,1,92898.17
33,7120,15636478,Williams,621,France,Male,31,7,136658.61,1,1,1,148689.13
34,6589,15693817,Ferrari,539,Spain,Male,28,5,0.0,2,1,0,48382.4
36,3391,15618213,Nnanna,674,France,Female,32,7,85757.93,1,1,1,95481.0
37,9196,15710315,Chukwukadibia,529,Germany,Male,29,4,135759.4,1,0,0,112813.79
38,4362,15592000,Calabresi,781,Germany,Female,48,9,82794.18,1,1,0,124720.68
39,2388,15595588,Chukwunonso,773,Spain,Female,39,4,0.0,2,0,1,182081.45
40,6174,15580560,Harris,769,France,Female,73,1,0.0,1,1,1,29792.11
41,7883,15732061,Liu,850,Germany,Female,45,1,121874.89,1,0,0,6865.41
42,2209,15809826,Craigie,728,France,Female,46,2,109705.52,1,1,0,20276.87
43,7947,15790448,Calabresi,473,France,Female,35,6,69617.36,1,1,0,143345.69
44,6249,15672185,Liu,590,France,Male,47,3,0.0,2,1,0,171774.5
45,3053,15605327,Namatjira,607,France,Male,35,2,0.0,2,1,1,114190.3
47,9592,15649211,Fokina,708,Spain,Male,40,8,83015.71,1,1,0,101089.76
48,7304,15568469,Buckley,653,France,Male,43,0,0.0,2,1,0,27862.58
50,1590,15617518,Hu,675,Germany,Male,36,7,89409.95,1,1,1,149399.7
51,9549,15758513,McDonald,569,France,Male,43,7,0.0,2,1,0,52534.81
52,5858,15813659,Folliero,594,France,Female,56,7,0.0,1,1,0,26215.85
53,2710,15780212,Mao,592,France,Male,37,4,212692.97,1,0,0,176395.02
55,723,15736879,Obinna,669,France,Male,23,1,0.0,2,0,0,66088.83
56,6325,15746012,Chibugo,729,Spain,Female,28,0,0.0,2,1,1,31165.06
58,421,15810418,T'ang,756,Germany,Female,60,3,115924.89,1,1,0,93524.19
60,9809,15581115,Middleton,603,France,Female,39,9,76769.68,1,0,0,48224.72
61,1672,15586880,P'eng,594,Germany,Male,41,2,122545.65,2,1,1,42050.24
