CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary
15799217,Zetticci,791,Germany,Female,35,7,52436.2,1,1,0,161051.75
15748986,Bischof,705,Germany,Male,42,8,166685.92,2,1,1,55313.51
15722004,Hsiung,543,France,Female,31,4,138317.94,1,0,0,61843.73
15780966,Pritchard,709,France,Female,32,2,0.0,2,0,0,109681.29
15636731,Ts'ai,714,Germany,Female,36,1,101609.01,2,1,1,447.73
15670646,Moore,499,Spain,Female,42,0,147187.84,1,1,1,14868.94
15610156,Ma,637,France,Male,40,2,133463.1,1,0,1,93165.34
15736816,Young,756,Germany,Male,36,2,136815.64,1,1,1,170041.95
15581388,Y?an,487,Spain,Male,33,8,145729.71,1,1,0,41365.85
15790322,Beneventi,660,France,Female,32,0,114668.89,1,1,0,84605.0
15609758,Geoghegan,537,France,Female,45,7,158621.04,1,1,0,120892.96
15759537,Bianchi,717,Germany,Male,35,7,58469.37,2,1,1,172459.39
15727688,Chizuoke,555,Spain,Male,32,4,0.0,2,1,1,54405.79
15790594,Bednall,535,France,Female,27,6,0.0,2,0,1,49775.58
15729763,Nelson,655,Spain,Male,34,1,116114.93,1,1,1,49492.15
15619029,Bykov,620,Spain,Female,43,2,0.0,2,1,0,20670.1
15674254,Kerr,554,Spain,Female,45,4,0.0,2,1,1,193412.05
15598744,Ch'ang,576,Germany,Female,71,6,140273.47,1,1,1,193135.25
15703399,McNeil,756,France,Female,26,5,101641.14,2,0,1,154460.68
15690372,Henry,553,Spain,Male,38,1,181110.13,2,1,0,184544.59
15748116,Zetticci,681,France,Female,29,2,148143.84,1,1,1,52021.39
15734850,Milanesi,676,Spain,Male,36,1,82729.49,1,1,0,113810.12
15659949,Chiu,850,France,Male,31,1,96399.31,2,1,0,106534.15
15650575,Payne,720,Spain,Female,59,6,0.0,2,1,1,160849.43
15752186,Padovano,562,France,Female,27,3,0.0,2,1,0,28137.03
15598892,Bradshaw,828,France,Male,30,4,73070.18,2,0,0,161671.15
15669060,Woolnough,662,France,Male,74,6,0.0,2,1,0,123583.85
15806210,Bateman,675,Spain,Male,66,5,115654.47,2,1,1,131970.86
15607395,Holt,679,France,Female,33,9,112528.65,2,1,0,177362.45
15759184,Russell,705,France,Male,34,7,117715.84,1,1,0,2498.67
15765297,Yao,766,Spain,Male,41,0,0.0,2,0,1,34283.23
15723658,Voronina,712,Spain,Female,30,6,0.0,2,1,0,152417.97
15780386,Ferri,654,Spain,Male,40,5,105683.63,1,1,0,173617.09
15578462,Hs?,596,Spain,Female,76,9,134208.25,1,1,1,13455.43
15775797,Esposito,607,Spain,Female,32,7,0.0,3,0,1,10674.62
15794549,Andrews,722,France,Female,35,2,163943.89,2,1,1,15068.18
15640686,Greco,700,France,Male,46,5,95872.86,1,1,0,98273.01
15616454,Davidson,476,Germany,Female,34,8,111905.43,1,0,1,197221.81
15697307,Nnachetam,588,Spain,Male,34,10,0.0,2,1,0,79078.91
15749727,Chukwufumnanya,829,Spain,Male,50,7,0.0,2,0,1,178458.86
15729832,Cheng,658,France,Male,29,3,145512.84,1,1,0,20207.02
15669611,Mott,632,France,Male,71,3,83116.68,1,1,1,27597.76
15658889,Watson,689,France,Male,22,4,136444.25,1,1,0,51980.25
15707291,Percy,477,Germany,Male,48,8,129250.0,2,1,1,157937.35
15781914,Simmons,718,Germany,Male,32,9,169947.41,2,1,1,27979.16
15814040,Munroe,610,France,Female,45,1,0.0,2,1,1,199657.46
15792650,Watts,382,Spain,Male,36,0,0.0,1,1,1,179540.73
15769402,Carpenter,667,France,Male,27,7,156811.74,1,1,1,149402.59
