model,year,transmission,mileage,fuelType,tax,mpg,engineSize
 SLK,2005,Automatic,63000,Petrol,325,32.1,1.8
 S Class,2017,Automatic,27000,Hybrid,20,61.4,2.1
 SL CLASS,2016,Automatic,6200,Petrol,555,28.0,5.5
 G Class,2016,Automatic,16000,Petrol,325,30.4,4.0
 G Class,2016,Automatic,4000,Petrol,325,30.1,4.0
 SL CLASS,2011,Automatic,3000,Petrol,570,21.4,6.2
 GLE Class,2018,Automatic,16000,Diesel,145,47.9,2.1
 S Class,2012,Automatic,107000,Petrol,265,36.7,3.5
 G Class,2019,Automatic,12000,Petrol,145,21.4,4.0
 GLA Class,2017,Automatic,15258,Diesel,30,64.2,2.1
 A Class,2020,Automatic,606,Petrol,145,35.8,2.0
 A Class,2020,Automatic,1000,Diesel,145,62.8,1.5
 B Class,2019,Automatic,278,Diesel,145,55.4,2.0
 GLC Class,2019,Automatic,5500,Petrol,145,21.7,4.0
 GLA Class,2016,Automatic,41713,Diesel,125,56.6,2.1
 B Class,2017,Automatic,24841,Diesel,150,68.9,1.5
 C Class,2017,Automatic,30281,Diesel,150,60.1,2.1
 GLE Class,2019,Automatic,2483,Petrol,145,29.5,3.0
 B Class,2017,Automatic,14128,Diesel,150,68.9,2.1
 C Class,2014,Automatic,20498,Diesel,20,64.2,2.1
 C Class,2019,Automatic,9949,Diesel,150,64.2,2.0
 C Class,2016,Automatic,31656,Diesel,30,64.2,2.1
 E Class,2015,Automatic,21874,Diesel,165,51.4,3.0
 E Class,2017,Automatic,13398,Diesel,165,52.3,3.0
 GL Class,2015,Automatic,13581,Diesel,330,36.2,3.0
 SL CLASS,2017,Automatic,16730,Diesel,150,70.6,2.1
 CLS Class,2016,Automatic,13887,Diesel,165,49.6,3.0
 SL CLASS,2017,Automatic,2780,Diesel,30,70.6,2.1
 SL CLASS,2018,Automatic,8725,Petrol,145,47.9,2.0
 C Class,2016,Automatic,25042,Diesel,30,64.2,2.1
 C Class,2019,Automatic,7990,Diesel,145,54.3,2.0
 GLC Class,2019,Automatic,26153,Diesel,145,45.6,3.0
 C Class,2017,Automatic,31371,Diesel,20,65.7,2.1
 A Class,2020,Automatic,2563,Petrol,145,47.9,1.3
 A Class,2019,Manual,1173,Petrol,145,44.8,1.3
